"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"32",2.13659200348788e-273,0.923043717088641,0.606,0.217,4.99962528816164e-269,"1","C1qc"
"33",4.71691101680803e-228,0.982447350325833,0.373,0.104,1.10375717793308e-223,"1","Msr1"
"34",4.6725489426814e-220,0.885025141322584,0.569,0.224,1.09337645258745e-215,"1","Mrc1"
"35",1.3390875911641e-214,0.854929805745591,0.534,0.198,3.133464963324e-210,"1","Fn1"
"36",4.48502457378336e-206,0.974437000822347,0.685,0.342,1.04949575026531e-201,"1","Chi3l3"
"37",7.42434290085901e-189,0.84982543706648,0.437,0.152,1.73729623880101e-184,"1","C1qa"
"38",1.89321576121319e-173,0.891528723418928,0.585,0.272,4.43012488123886e-169,"1","Srgn"
"39",3.74050665675174e-166,0.826597733217469,0.469,0.188,8.75278557679908e-162,"1","Cd302"
"40",1.32677771175778e-141,0.832102848194521,0.3,0.097,3.1046598455132e-137,"1","Gpnmb"
"41",0,2.03368000282873,0.267,0.022,0,"2","Marco"
"42",0,1.98557714812454,0.535,0.063,0,"2","Ctsk"
"43",0,1.96308432273258,0.457,0.047,0,"2","Car4"
"44",0,1.65827547071832,0.602,0.122,0,"2","1100001G20Rik"
"45",0,1.65455662756842,0.905,0.33,0,"2","Chi3l3"
"46",0,1.50874419840074,0.325,0.05,0,"2","Fabp4"
"47",0,1.32604249588263,0.591,0.148,0,"2","Atp6v0d2"
"48",0,1.23760743524252,0.355,0.073,0,"2","1600029D21Rik"
"49",0,1.22067330041919,0.924,0.416,0,"2","Ccl6"
"50",0,1.14544318074589,0.522,0.144,0,"2","Ear2"
"51",0,1.07401434373362,0.811,0.399,0,"2","Cd9"
"52",0,0.979347978884144,0.875,0.474,0,"2","Ctsd"
"53",0,0.963155759023873,0.985,0.853,0,"2","Fth1"
"54",2.41921427111288e-257,1.10934421973475,0.299,0.063,5.66096139440413e-253,"2","Il18"
"55",1.7597088935256e-244,1.00412948053319,0.611,0.247,4.11771881084991e-240,"2","Lpl"
"56",1.05446079466094e-239,0.991886290496532,0.583,0.224,2.46743825950659e-235,"2","Mrc1"
"57",2.13613166993638e-237,1.08937794167974,0.437,0.135,4.99854810765113e-233,"2","F7"
"58",6.48384550050914e-231,1.06918312332894,0.318,0.077,1.51721984711914e-226,"2","1810033B17Rik"
"59",7.53937635131449e-206,0.974235703373638,0.466,0.164,1.76421406620759e-201,"2","Clec4n"
"60",5.74047282851141e-195,0.941971717325137,0.515,0.207,1.34327064187167e-190,"2","Msrb1"
"61",0,2.31318860589964,0.359,0.019,0,"3","Ms4a4b"
"62",0,2.01622340253803,0.352,0.024,0,"3","Cd3d"
"63",0,1.94875985643549,0.333,0.045,0,"3","Il7r"
"64",0,1.92716309104946,0.263,0.01,0,"3","Trac"
"65",0,1.73678905038477,0.285,0.025,0,"3","Cd3g"
"66",0,1.70771000680023,0.48,0.057,0,"3","Trbc2"
